1
-400 -25 130
-350 -25 130
-350 25 130
-400 25 130

1
-350 -25 130
-300 -25 130
-300 25 130
-350 25 130

1
-300 -25 130
-250 -25 130
-250 25 130
-300 25 130

1
-250 -25 130
-200 -25 130
-200 25 130
-250 25 130

1
-200 -25 130
-150 -25 130
-150 25 130
-200 25 130

1
-150 -25 130
-100 -25 130
-100 25 130
-150 25 130

1
-100 -25 130
-50 -25 130
-50 25 130
-100 25 130

1
-50 -25 130
0 -25 130
0 25 130
-50 25 130

1
0 -25 130
50 -25 130
50 25 130
0 25 130

1
50 -25 130
100 -25 130
100 25 130
50 25 130

1
100 -25 130
150 -25 130
150 25 130
100 25 130

1
150 -25 130
200 -25 130
200 25 130
150 25 130

1
200 -25 130
250 -25 130
250 25 130
200 25 130

1
250 -25 130
300 -25 130
300 25 130
250 25 130

1
300 -25 130
350 -25 130
350 25 130
300 25 130

1
350 -25 130
400 -25 130
400 25 130
350 25 130

